text
"COVID-19; Here are the latest updates as of 3pm, 26th February 2020 https://t.co/56nerSYZPS Feb 26, 2020"
"Status terkini COVID-19 setakat 11 May 2020 Jumlah kes discaj baru: 88 Jumlah kumulatif discaj: 5,113 (76%) Jumlah kes baru; 70 Jumlah kumulatif: 6,726 Jumlah kes aktif: 1,504 Jumlah kematian: 1 Jumlah kumulatif kematian: 109 (1.62%) Jumlah kes di ICU: 20 Pesakit Intubated: 7 https://t.co/dHgq1C0VH0 May 11, 2020"
"Status terkini COVID-19 setakat 12 May 2020 Jumlah discaj baru: 110 Jumlah kumulatif discaj: 5,223 (77.4%) Jumlah kes baru; 16 Jumlah kumulatif: 6,742 Jumlah kes aktif: 1,410 Jumlah kematian: 0 Jumlah kumulatif kematian: 109 (1.62%) Jumlah kes di ICU: 16 Pesakit Intubated: 7 https://t.co/W5g4wR1sK0 May 12, 2020"
"Status terkini COVID-19 setakat 13 May 2020 Jumlah discaj baru: 58 Jumlah kumulatif discaj: 5,281 (78.0%) Jumlah kes baru; 37 Jumlah kumulatif: 6,779 Jumlah kes aktif: 1,387 Jumlah kematian: 2 Jumlah kumulatif kematian: 111 (1.63%) Jumlah kes di ICU: 16 Pesakit Intubated: 4 https://t.co/wHgDu3xFK9 May 13, 2020"
"Status terkini COVID-19 setakat 14 May 2020 Jumlah discaj baru: 70 Jumlah kumulatif discaj: 5,351 (78.5%) Jumlah kes baru; 40 Jumlah kumulatif: 6,829 Jumlah kes aktif: 1,356 Jumlah kematian: 1 Jumlah kumulatif kematian: 112 (1.64%) Jumlah kes di ICU: 16 Pesakit Intubated: 4 https://t.co/0NYNN0Tyh1 May 14, 2020"
"Status terkini COVID-19 setakat 15 May 2020 Jumlah discaj baru: 88 Jumlah kumulatif discaj: 5,439 (79.3%) Jumlah kes baru; 36 Jumlah kumulatif: 6,855 Jumlah kes aktif: 1,304 Jumlah kematian: 0 Jumlah kumulatif kematian: 112 (1.63%) Jumlah kes di ICU: 15 Pesakit Intubated: 5 https://t.co/bF7LG6SbsP May 15, 2020"
"Status terkini COVID-19 setakat 16 May 2020 Jumlah discaj baru: 73 Jumlah kumulatif discaj: 5,512 (80.3%) Jumlah kes baru; 17 Jumlah kumulatif: 6,872 Jumlah kes aktif: 1,247 Jumlah kematian: 1 Jumlah kumulatif kematian: 113 (1.64%) Jumlah kes di ICU: 13 Pesakit Intubated: 5 https://t.co/RNiSXVoALC May 16, 2020"
"Status terkini COVID-19 setakat 17 May 2020 Jumlah discaj baru: 59 Jumlah kumulatif discaj: 5,571 (80.8%) Jumlah kes baru; 22 Jumlah kumulatif: 6,894 Jumlah kes aktif: 1,210 Jumlah kematian: 0 Jumlah kumulatif kematian: 113 (1.63%) Jumlah kes di ICU: 13 Pesakit Intubated: 7 https://t.co/zs9UAI1N9E May 17, 2020"
"Status terkini COVID-19 setakat 18 May 2020 Jumlah discaj baru: 44 Jumlah kumulatif discaj: 5,615 (80.9%) Jumlah kes baru; 47 Jumlah kumulatif: 6,941 Jumlah kes aktif: 1,213 Jumlah kematian: 0 Jumlah kumulatif kematian: 113 (1.63%) Jumlah kes di ICU: 13 Pesakit Intubated: 7 https://t.co/ClnKDXCpjB May 18, 2020"
"Status terkini COVID-19 setakat 18 May 2020 Jumlah discaj baru: 44 Jumlah kumulatif discaj: 5,615 (80.9%) Jumlah kes baru; 47 Jumlah kumulatif: 6,941 Jumlah kes aktif: 1,213 Jumlah kematian: 0 Jumlah kumulatif kematian: 113 (1.63%) Jumlah kes di ICU: 13 Pesakit Intubated: 6 https://t.co/nJQjvYRnmT May 18, 2020"
"Status terkini COVID-19 setakat 19 May 2020 Jumlah discaj baru: 31 Jumlah kumulatif discaj: 5,646 (80.9%) Jumlah kes baru; 37 Jumlah kumulatif: 6,978 Jumlah kes aktif: 1,218 Jumlah kematian: 1 Jumlah kumulatif kematian: 114 (1.61%) Jumlah kes di ICU: 11 Pesakit Intubated: 6 https://t.co/oQtz3lUsLC May 19, 2020"
"Status terkini COVID-19 setakat 20 May 2020 Jumlah discaj baru: 60 Jumlah kumulatif discaj: 5,706 (81.4%) Jumlah kes baru; 31 Jumlah kumulatif: 7,009 Jumlah kes aktif: 1,189 Jumlah kematian: 0 Jumlah kumulatif kematian: 114 (1.63%) Jumlah kes di ICU: 11 Pesakit Intubated: 7 https://t.co/uXuFjmNKs3 May 20, 2020"
"Status terkini COVID-19 setakat 21 May 2020 Jumlah discaj baru: 90 Jumlah kumulatif discaj: 5,796 (82.1%) Jumlah kes baru; 50 Jumlah kumulatif: 7,059 Jumlah kes aktif: 1,149 Jumlah kematian: 0 Jumlah kumulatif kematian: 114 (1.61%) Jumlah kes di ICU: 10 Pesakit Intubated: 7 https://t.co/8uHKHlOjUl May 21, 2020"
"Status terkini COVID-19 setakat 21 May 2020 Drp 50 kes baru yg dilaporkan, 3 adalah kes import. 47 kes adalah penularan tempatan. 41 kes adalah bukan warganegara (BWN) Hanya 6 kes penularan tempatan adalah warganegara. 34 BWN dari Pusat Depot Tahanan imigresen di Bukit Jalil https://t.co/x9L2dFK4xf May 21, 2020"
"Status terkini COVID-19 setakat 22 May 2020 Jumlah tdiscaj baru: 63 Jumlah kumulatif discaj: 5,859 (82.1%) Jumlah kes baru; 78 Jumlah kumulatif: 7,137 Jumlah kes aktif: 1,163 Jumlah kematian: 1 Jumlah kumulatif kematian: 115 (1.61%) Jumlah kes di ICU: 9 Pesakit Intubated: 5 https://t.co/3TkZZicD8b May 22, 2020"
"Status terkini COVID-19 setakat 23 May 2020 Jumlah discaj baru: 53 Jumlah kumulatif discaj: 5,912 (82.3%) Jumlah kes baru; 48 Jumlah kumulatif: 7,185 Jumlah kes aktif: 1,158 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.60%) Jumlah kes di ICU: 9 Pesakit Intubated: 5 https://t.co/utSoTk3lMd May 23, 2020"
"Status terkini COVID-19 setakat 24 May 2020 Jumlah discaj baru: 33 Jumlah kumulatif discaj: 5,945 (82.0%) Jumlah kes baru; 60 Jumlah kumulatif: 7,245 Jumlah kes aktif: 1,185 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.60%) Jumlah kes di ICU: 9 Pesakit intubated: 4 https://t.co/0Nn3VzC1mh May 24, 2020"
"Status terkini COVID-19 setakat 25 May 2020 Jumlah discaj baru: 34 Jumlah kumulatif discaj: 5,979 (80.6%) Jumlah kes baru; 172 Jumlah kumulatif: 7,417 Jumlah kes aktif: 1,323 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.55%) Jumlah kes di ICU: 8 Pesakit intubated: 4 https://t.co/Jk4YqCBMqu May 25, 2020"
"Status terkini COVID-19 setakat 26 May 2020 Jumlah discaj baru: 62 Jumlah kumulatif discaj: 6041 (79.4%) Jumlah kes baru; 187 Jumlah kumulatif: 7,604 Jumlah kes aktif: 1,448 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.51%) Jumlah kes di ICU: 8 Pesakit intubated: 5 https://t.co/CELuYfBHCN May 26, 2020"
"Status terkini COVID-19 setakat 27 May 2020 Jumlah discaj baru: 42 Jumlah kumulatif discaj: 6083 (79.8%) Jumlah kes baru; 15 Jumlah kumulatif: 7,619 Jumlah kes aktif: 1,421 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.5%) Jumlah kes di ICU: 8 Pesakit intubated: 4 https://t.co/hzXSTUHzhQ May 27, 2020"
"Status terkini COVID-19 setakat 28 May 2020 Jumlah discaj baru: 86 Jumlah kumulatif discaj: 6169 (80.8%) Jumlah kes baru; 10 Jumlah kumulatif: 7,629 Jumlah kes aktif: 1,345 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.5%) Jumlah kes di ICU: 8 Pesakit intubated: 4 https://t.co/MpnGcDdF7x May 28, 2020"
"Status terkini COVID-19 setakat 29 May 2020 Jumlah discaj baru: 66 Jumlah kumulatif discaj: 6235 (80.6%) Jumlah kes baru; 103 Jumlah kumulatif: 7,732 Jumlah kes aktif: 1,382 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.48%) Jumlah kes di ICU: 8 Pesakit intubated: 2 https://t.co/4CF1Y2Ca1D May 29, 2020"
"Status terkini COVID-19 setakat 30 May 2020 Jumlah discaj baru: 95 Jumlah kumulatif discaj: 6330 (81.6%) Jumlah kes baru; 30 Jumlah kumulatif: 7,762 Jumlah kes aktif: 1,317 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.48%) Jumlah kes di ICU: 9 Pesakit intubated: 2 https://t.co/ftIhmuafzd May 30, 2020"
"Status terkini COVID-19 setakat 31 May 2020 Jumlah discaj baru: 23 Jumlah kumulatif discaj: 6353 (81.2%) Jumlah kes baru; 57 Jumlah kumulatif: 7,819 Jumlah kes aktif: 1,352 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.47%) Jumlah kes di ICU: 9 Pesakit intubated: 2 https://t.co/oI26z8dvtg May 31, 2020"
"Status terkini COVID-19 setakat 1 Jun 2020 Jumlah discaj baru: 51 Jumlah kumulatif discaj: 6404 (81.5%) Jumlah kes baru; 38 Jumlah kumulatif: 7,857 Jumlah kes aktif: 1,338 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.47%) Jumlah kes di ICU: 8 Pesakit intubated: 2 https://t.co/6agXiZL7XY Jun 01, 2020"
"Status terkini COVID-19 setakat 2 Jun 2020 Jumlah discaj baru: 66 Jumlah kumulatif discaj: 6470 (82.1%) Jumlah kes baru; 20 Jumlah kumulatif: 7,877 Jumlah kes aktif: 1,292 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.45%) Jumlah kes di ICU: 6 Pesakit intubated: 2 https://t.co/F9w8s21069 Jun 02, 2020"
"Status terkini COVID-19 setakat 3 Jun 2020 Jumlah discaj baru: 61 Jumlah kumulatif discaj: 6531 (81.9%) Jumlah kes baru; 93 Jumlah kumulatif: 7,970 Jumlah kes aktif: 1,324 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.44%) Jumlah kes di ICU: 6 Pesakit intubated: 2 https://t.co/XgkzEVs4DZ Jun 03, 2020"
"Status terkini COVID-19 setakat 4 Jun 2020 Jumlah discaj baru: 28 Jumlah kumulatif discaj: 6559 (79.5%) Jumlah kes baru; 277 Jumlah kumulatif: 8247 Jumlah kes aktif: 1,573 Jumlah kematian: 0 Jumlah kumulatif kematian: 115 (1.39%) Jumlah kes di ICU: 6 Pesakit intubated: 2 https://t.co/VK9fHpt3Dd Jun 04, 2020"
"Status terkini COVID-19 setakat 5 Jun 2020 Jumlah discaj baru: 51 Jumlah kumulatif discaj: 6610 (80.0%) Jumlah kes baru; 19 Jumlah kumulatif: 8266 Jumlah kes aktif: 1,540 Jumlah kematian: 1 Jumlah kumulatif kematian: 116 (1.4%) Jumlah kes di ICU: 6 Pesakit intubated: 1 https://t.co/CUiObo0puC Jun 05, 2020"
"Status terkini COVID-19 setakat 6 Jun 2020 Jumlah discaj baru: 25 Jumlah kumulatif discaj: 6635 (79.91%) Jumlah kes baru; 37 Jumlah kumulatif: 8303 Jumlah kes aktif: 1,551 Jumlah kematian: 1 Jumlah kumulatif kematian: 117 (1.4%) Jumlah kes di ICU: 5 Pesakit intubated: 0 https://t.co/MlTsD06QiH Jun 06, 2020"
"Status terkini COVID-19 setakat 8 Jun 2020 Jumlah discaj baru: 20 Jumlah kumulatif discaj: 6694 (80.4%) Jumlah kes baru; 7 Jumlah kumulatif: 8329 Jumlah kes aktif: 1,518 Jumlah kematian: 0 Jumlah kumulatif kematian: 117 (1.4%) Jumlah kes di ICU: 6 Pesakit intubated: 1 https://t.co/DdUcGa8KFa Jun 08, 2020"
"Status terkini COVID-19 setakat 9 Jun 2020 Jumlah discaj baru: 281 Jumlah kumulatif discaj: 6975 (83.7%) Jumlah kes baru; 7 Jumlah kumulatif: 8336 Jumlah kes aktif: 1,224 Jumlah kematian: 0 Jumlah kumulatif kematian: 117 (1.4%) Jumlah kes di ICU: 6 Pesakit intubated: 1 https://t.co/o33YPCneG9 Jun 09, 2020"
"Status terkini COVID-19 setakat 10 Jun 2020 Jumlah discaj baru: 39 Jumlah kumulatif discaj: 7014 (84.1%) Jumlah kes baru; 2 Jumlah kumulatif: 8338 Jumlah kes aktif: 1,206 Jumlah kematian: 1 Jumlah kumulatif kematian: 118 (1.4%) Jumlah kes di ICU: 5 Pesakit intubated: 0 https://t.co/kwuslSc6YK Jun 10, 2020"
"Status terkini COVID-19 setakat 11 Jun 2020 Jumlah discaj baru: 51 Jumlah kumulatif discaj: 7065 (84.4%) Jumlah kes baru; 31 Jumlah kumulatif: 8369 Jumlah kes aktif: 1,186 Jumlah kematian: 0 Jumlah kumulatif kematian: 118 (1.4%) Jumlah kes di ICU: 5 Pesakit intubated: 0 https://t.co/M5EnPnqFz7 Jun 11, 2020"
"Status terkini COVID-19 setakat 12 Jun 2020 Jumlah discaj baru: 103 Jumlah kumulatif discaj: 7168 (85.3%) Jumlah kes baru; 33 Jumlah kumulatif: 8402 Jumlah kes aktif: 1,115 Jumlah kematian: 1 Jumlah kumulatif kematian: 119 (1.42%) Jumlah kes di ICU: 4 Pesakit intubated: 0 https://t.co/AECJcUa9iV Jun 12, 2020"
"Status terkini COVID-19 setakat 13 Jun 2020 Jumlah discaj baru: 143 Jumlah kumulatif discaj: 7311 (86.6%) Jumlah kes baru; 43 Jumlah kumulatif: 8455 Jumlah kes aktif: 1,014 Jumlah kematian: 1 Jumlah kumulatif kematian: 120 (1.42%) Jumlah kes di ICU: 4 Pesakit intubated: 0 https://t.co/RbGCFz7353 Jun 13, 2020"
"Status terkini COVID-19 setakat 14 Jun 2020 Jumlah discaj baru: 35 Jumlah kumulatif discaj: 7346 (86.9%) Jumlah kes baru; 8 Jumlah kumulatif: 8453 Jumlah kes aktif: 986 Jumlah kematian: 1 Jumlah kumulatif kematian: 121 (1.43%) Jumlah kes di ICU: 4 Pesakit intubated: 0 https://t.co/7RdtKyk6xy Jun 14, 2020"
"Status terkini COVID-19 setakat 15 Jun 2020 Jumlah discaj baru: 54 Jumlah kumulatif discaj: 7400 (87.1%) Jumlah kes baru; 41 Jumlah kumulatif: 8494 Jumlah kes aktif: 973 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.42%) Jumlah kes di ICU: 4 Pesakit intubated: 0 https://t.co/XvBTGoTmmW Jun 15, 2020"
"Status terkini COVID-19 setakat 16 Jun 2020 Jumlah discaj baru: 333 Jumlah kumulatif discaj: 7733 (90.9%) Jumlah kes baru; 11 Jumlah kumulatif: 8505 Jumlah kes aktif: 651 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.42%) Jumlah kes di ICU: 4 Pesakit intubated: 0 https://t.co/qs79FFdu0p Jun 16, 2020"
"Status terkini COVID-19 setakat 17 Jun 2020 Jumlah discaj baru: 140 Jumlah kumulatif discaj: 7873 (92.5%) Jumlah kes baru; 10 Jumlah kumulatif: 8515 Jumlah kes aktif: 521 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.42%) Jumlah kes di ICU: 4 Pesakit intubated: 0 https://t.co/oWNsCK1tfj Jun 17, 2020"
"Status terkini COVID-19 setakat 18 Jun 2020 Jumlah discaj baru: 127 Jumlah kumulatif discaj: 8000 (93.8%) Jumlah kes baru; 14 Jumlah kumulatif: 8529 Jumlah kes aktif: 408 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.42%) Jumlah kes di ICU: 4 Pesakit intubated: 0 https://t.co/DRNH71SDIU Jun 18, 2020"
"Status terkini COVID-19 setakat 19 Jun 2020 Jumlah discaj baru: 70 Jumlah kumulatif discaj: 8070 (94.6%) Jumlah kes baru; 6 Jumlah kumulatif: 8535 Jumlah kes aktif: 344 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.41%) Jumlah kes di ICU: 3 Pesakit intubated: 0 https://t.co/72lNkBIuqd Jun 19, 2020"
"Status terkini COVID-19 setakat 20 Jun 2020 Jumlah discaj baru: 76 Jumlah kumulatif discaj: 8146 (95.2%) Jumlah kes baru; 21 Jumlah kumulatif: 8556 Jumlah kes aktif: 286 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.41%) Jumlah kes di ICU: 3 Pesakit intubated: 0 https://t.co/4dGTpGG2hD Jun 20, 2020"
"Status terkini COVID-19 setakat 21 Jun 2020 Jumlah discaj baru: 10 Jumlah kumulatif discaj: 8156 (95.1%) Jumlah kes baru; 16 Jumlah kumulatif: 8572 Jumlah kes aktif: 295 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.41%) Jumlah kes di ICU: 3 Pesakit intubated: 0 https://t.co/MYyy1jstjD Jun 21, 2020"
"Status terkini COVID-19 setakat 21 Jun 2020 Jumlah discaj hari ini adalah 10 kes & Jumlah kumulatif kes yang telah pulih & dibenarkan discaj adalah 8156 kes atau 95.1% iaitu antara tertinggi di dunia. Jumlah kumulatif kematian antara terendah di dunia iaitu 121 atau 1.41% https://t.co/ByLeWHiDeV Jun 21, 2020"
"Status terkini COVID-19 setakat 22 Jun 2020 Jumlah discaj baru: 21 Jumlah kumulatif discaj: 8177 (95.2%) Jumlah kes baru; 15 Jumlah kumulatif: 8587 Jumlah kes aktif: 289 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.41%) Jumlah kes di ICU: 2 Pesakit intubated: 0 https://t.co/Of4zhqDIju Jun 22, 2020"
"Status terkini COVID-19 setakat 23 Jun 2020 Jumlah discaj baru: 9 Jumlah kumulatif discaj: 8186 (95.3%) Jumlah kes baru; 3 Jumlah kumulatif: 8590 Jumlah kes aktif: 283 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.4%) Jumlah kes di ICU: 3 Pesakit intubated: 0 https://t.co/H2rRhAVPkN Jun 23, 2020"
"Status terkini COVID-19 setakat 25 Jun 2020 Jumlah discaj baru: 40 Jumlah kumulatif discaj: 8271 (96.2%) Jumlah kes baru; 4 Jumlah kumulatif: 8600 Jumlah kes aktif: 208 Jumlah kematian: 0 Jumlah kumulatif kematian: 121 (1.4%) Jumlah kes di ICU: 2 Pesakit intubated: 0 https://t.co/xWgo9XChLu Jun 25, 2020"
